Authors,Data type,In/OFF clinic,ML/DL,Meds ON/OFF,Modality,N,Sample size,Scale versio,Scale version,Sensor-Placement,Type of Ground truth,Wearable,Year,fn,fp,studyid,tn,tp
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,16,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,0,1,4,12
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,16,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,0,2,4,12
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,16,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,0,3,4,12
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,16,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,0,4,4,12
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,25,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,0,5,4,12
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,25,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,0,6,4,12
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,35,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,1,7,8,27
Duque,1D (Time-Series),In clinic,ML,NR,Gyroscope only,35,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,0,1,8,8,27
Tsiouris et al.,1D (Time-Series),In clinic,ML,NR,Gyroscope only,6218,N≥60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2017,94,187,9,4464,1473
Samadi et al.,1D (Time-Series),In clinic,ML,NR,Gyroscope only,50,N<60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2020,3,0,10,5,42
Pan et al.,1D (Time-Series),In clinic,ML,NR,Gyroscope only,40,N<60,UPDRS,,Multi-Site,Standardized Clinical Scale,Wearable,2015,2,6,11,14,18
Sun et al.,1D (Time-Series),In clinic,ML,NR,Gyroscope only,4000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,230,221,12,1779,1770
Sun et al.,1D (Time-Series),In clinic,ML,NR,Gyroscope only,4000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,237,226,13,1774,1763
Sun et al.,1D (Time-Series),In clinic,ML,NR,Gyroscope only,4000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,198,154,14,1846,1802
Sun et al.,1D (Time-Series),In clinic,DL,NR,Gyroscope only,4000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,173,179,15,1821,1827
Sun et al.,1D (Time-Series),In clinic,DL,NR,Gyroscope only,4000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,418,469,16,1531,1582
Sun et al.,1D (Time-Series),In clinic,ML,NR,Gyroscope only,8000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,358,341,17,3659,3642
Sun et al.,1D (Time-Series),In clinic,ML,NR,Inertial - IMU,8000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,382,401,18,3599,3618
Sun et al.,1D (Time-Series),In clinic,ML,NR,Inertial - IMU,8000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,323,298,19,3702,3677
Sun et al.,1D (Time-Series),In clinic,DL,NR,Inertial - IMU,8000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,315,303,20,3697,3685
Sun et al.,1D (Time-Series),In clinic,DL,NR,Inertial - IMU,8000,N≥60,UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2023,750,478,21,3522,3250
